cmpdname,BoilingPoint,mw,mf,polararea,heavycnt,hbondacc,isosmiles,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify1
Ethylene Glycol,470.65,62.07,C2H6O2,40.5,4,2,C(CO)O,2,0,2,1,0,0,Alcohol
"2,3-Butanediol",455.15,90.12,C4H10O2,40.5,6,2,CC(C(C)O)O,4,0,2,2,0,0,Alcohol
1-Butanol,390.75,74.12,C4H10O,20.2,5,1,CCCCO,4,0,1,0,0,0,Alcohol
Methane,111.65,16.043,CH4,0,1,0,C,1,0,0,0,0,0,Hydrocarbon
Octane,398.77,114.23,C8H18,0,8,0,CCCCCCCC,8,0,0,0,0,0,Hydrocarbon
Dimethylamine,280.45,45.08,C2H7N,12,3,1,CNC,2,1,0,0,0,0,Amine
Ethanol,351.39,46.07,C2H6O,20.2,3,1,CCO,2,0,1,0,0,0,Alcohol
Glycerol,562.15,92.09,C3H8O3,60.7,6,3,C(C(CO)O)O,3,0,3,2,0,0,Alcohol
Methanol,337.65,32.042,CH4O,20.2,2,1,CO,1,0,1,0,0,0,Alcohol
1-Octanol,467.85,130.229,C8H18O,20.2,9,1,CCCCCCCCO,8,0,1,0,0,0,Alcohol
Propylene Glycol,460.45,76.09,C3H8O2,40.5,5,2,CC(CO)O,3,0,2,1,0,0,Alcohol
1-Propanol,370.19,60.1,C3H8O,20.2,4,1,CCCO,3,0,1,0,0,0,Alcohol
Trimethylamine,275.95,59.11,C3H9N,3.2,4,1,CN(C)C,3,1,0,1,0,0,Amine
3-(Dibutylamino)propylamine,478.2,186.34,C11H26N2,29.3,13,2,CCCCN(CCCC)CCCN,11,2,0,1,0,0,Amine
1-Hexadecanol,598.15,242.44,C16H34O,20.2,17,1,CCCCCCCCCCCCCCCCO,16,0,1,0,0,0,Alcohol
Dioctylamine,580.85,241.46,C16H35N,12,17,1,CCCCCCCCNCCCCCCCC,16,1,0,0,0,0,Amine
Ethylenediamine,390.05,60.1,C2H8N2,52,4,2,C(CN)N,2,2,0,1,0,0,Amine
Batyl alcohol,886.42,344.6,C21H44O3,49.7,24,3,CCCCCCCCCCCCCCCCCCOCC(CO)O,21,0,3,1,0,0,Alcohol
Isopropyl Alcohol,355.36,60.1,C3H8O,20.2,4,1,CC(C)O,3,0,1,1,0,0,Alcohol
Triethylenetetramine,539.65,146.23,C6H18N4,76.1,10,4,C(CNCCNCCN)N,6,4,0,1,0,0,Amine
Sorbitol,704,182.17,C6H14O6,121,12,6,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,6,0,6,5,0,0,Alcohol
"N,N,N',N'-Tetramethylmethanediamine",356.65,102.18,C5H14N2,6.5,7,2,CN(C)CN(C)C,5,2,0,2,0,0,Amine
Bis(3-aminopropyl)amine,493.15,131.22,C6H17N3,64.099,9,3,C(CN)CNCCCN,6,3,0,1,0,0,Amine
Mannitol,888.2,182.17,C6H14O6,121,12,6,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,6,0,6,5,0,0,Alcohol
1-Pentanol,410.75,88.15,C5H12O,20.2,6,1,CCCCCO,5,0,1,0,0,0,Alcohol
